Area (pm^2),Pj (um),corner,temp,Vn,In
100.0,40.0,diode_typical,-40,-12.13,0.26642
100.0,40.0,diode_ff,-40,-12.13,0.294823
100.0,40.0,diode_ss,-40,-12.13,0.243088
100.0,40.0,diode_typical,-40,-12.0,0.203848
100.0,40.0,diode_ff,-40,-12.0,0.225313
100.0,40.0,diode_ss,-40,-12.0,0.186194
100.0,40.0,diode_typical,-40,-11.87,0.142257
100.0,40.0,diode_ff,-40,-11.87,0.156903
100.0,40.0,diode_ss,-40,-11.87,0.130184
100.0,40.0,diode_typical,-40,-11.74,0.082623
100.0,40.0,diode_ff,-40,-11.74,0.0906989
100.0,40.0,diode_ss,-40,-11.74,0.0759302
100.0,40.0,diode_typical,-40,-11.61,0.0285306
100.0,40.0,diode_ff,-40,-11.61,0.0307958
100.0,40.0,diode_ss,-40,-11.61,0.0266116
100.0,40.0,diode_typical,-40,-11.48,0.000828287
100.0,40.0,diode_ff,-40,-11.48,0.000834324
100.0,40.0,diode_ss,-40,-11.48,0.000822377
100.0,40.0,diode_typical,-40,-11.35,1.93159e-06
100.0,40.0,diode_ff,-40,-11.35,1.93163e-06
100.0,40.0,diode_ss,-40,-11.35,1.93156e-06
100.0,40.0,diode_typical,-40,-11.22,4.16924e-09
100.0,40.0,diode_ff,-40,-11.22,4.16924e-09
100.0,40.0,diode_ss,-40,-11.22,4.16924e-09
100.0,40.0,diode_typical,-40,-11.09,8.99814e-12
100.0,40.0,diode_ff,-40,-11.09,8.99814e-12
100.0,40.0,diode_ss,-40,-11.09,8.99814e-12
100.0,40.0,diode_typical,-40,-10.96,2.04281e-14
100.0,40.0,diode_ff,-40,-10.96,2.04281e-14
100.0,40.0,diode_ss,-40,-10.96,2.13163e-14
100.0,40.0,diode_typical,-40,-10.83,8.88178e-16
100.0,40.0,diode_ff,-40,-10.83,8.88178e-16
100.0,40.0,diode_ss,-40,-10.83,8.88178e-16
100.0,40.0,diode_typical,-40,-10.7,8.88178e-16
100.0,40.0,diode_ff,-40,-10.7,8.88178e-16
100.0,40.0,diode_ss,-40,-10.7,1.77636e-15
100.0,40.0,diode_typical,-40,-10.57,8.88178e-16
100.0,40.0,diode_ff,-40,-10.57,8.88178e-16
100.0,40.0,diode_ss,-40,-10.57,1.77636e-15
100.0,40.0,diode_typical,-40,-10.44,8.88178e-16
100.0,40.0,diode_ff,-40,-10.44,8.88178e-16
100.0,40.0,diode_ss,-40,-10.44,8.88178e-16
100.0,40.0,diode_typical,-40,-10.31,8.88178e-16
100.0,40.0,diode_ff,-40,-10.31,8.88178e-16
100.0,40.0,diode_ss,-40,-10.31,8.88178e-16
100.0,40.0,diode_typical,-40,-10.18,8.88178e-16
100.0,40.0,diode_ff,-40,-10.18,8.88178e-16
100.0,40.0,diode_ss,-40,-10.18,8.88178e-16
100.0,40.0,diode_typical,-40,-10.05,8.88178e-16
100.0,40.0,diode_ff,-40,-10.05,8.88178e-16
100.0,40.0,diode_ss,-40,-10.05,8.88178e-16
100.0,40.0,diode_typical,-40,-9.92,8.88178e-16
